Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,171.0,171.85,170.48,171.08,16480187.0,0.0,1.0,40.94447970546014,41.14800489697851,40.81997017653126,40.96363501760305,65920748.0
2017-12-27,170.1,170.78,169.71,170.6,21498213.0,0.0,1.0,40.72898244385246,40.891802597067155,40.6356002971558,40.84870314474561,85992852.0
2017-12-26,170.8,171.47,169.679,170.57,33185536.0,0.0,1.0,40.89659142510288,41.05701716429971,40.628177613700416,40.84151990269203,132742144.0
2017-12-22,174.68,175.424,174.5,175.01,16349444.0,0.0,1.0,41.82562406403379,42.00376846696281,41.78252461171225,41.90463972662327,65397776.0
2017-12-21,174.17,176.02,174.1,175.01,20949896.0,0.0,1.0,41.703508949122764,42.14647554242745,41.68674805099772,41.90463972662327,83799584.0
2017-12-20,174.87,175.42,173.25,174.35,23475649.0,0.0,1.0,41.87111793037319,42.002810701355656,41.483222859479355,41.7466084014443,93902596.0
2017-12-19,175.03,175.39,174.09,174.54,27436447.0,0.0,1.0,41.909428554659,41.99562745930207,41.684353636979864,41.792102267783704,109745788.0
2017-12-18,174.88,177.2,174.86,176.42,29421114.0,0.0,1.0,41.87351234439105,42.4290163965353,41.86872351635533,42.24225210314197,117684456.0
2017-12-15,173.63,174.17,172.46,173.97,40169307.0,0.0,1.0,41.57421059215815,41.703508949122764,41.29406415206817,41.6556206687655,160677228.0
2017-12-14,172.4,173.13,171.65,172.22,20476541.0,0.0,1.0,41.27969766796099,41.454489891265,41.10011661662125,41.23659821563945,81906164.0
2017-12-13,172.5,173.54,172.0,172.27,23818447.0,0.0,1.0,41.303641808139616,41.55266086599738,41.18392110724646,41.24857028572877,95273788.0
2017-12-12,172.15,172.39,171.461,171.7,19409230.0,0.0,1.0,41.219837317514404,41.27730325394312,41.05486219168364,41.112088686710564,77636920.0
2017-12-11,169.2,172.89,168.79,172.67,35273759.0,0.0,1.0,40.51348518224477,41.39702395483628,40.41531420751238,41.34434684644329,141095036.0
2017-12-08,170.49,171.0,168.82,169.37,23355231.0,0.0,1.0,40.82236459054912,40.94447970546014,40.422497449565974,40.55419022054845,93420924.0
2017-12-07,169.03,170.44,168.91,169.32,25673308.0,0.0,1.0,40.4727801439411,40.81039252045981,40.44404717572674,40.54221815045913,102693232.0
2017-12-06,167.5,170.2047,166.46,169.01,28560000.0,0.0,1.0,40.10643479920803,40.754051958619485,39.857415741350266,40.46799131590537,114240000.0
2017-12-05,169.06,171.52,168.4,169.64,27350154.0,0.0,1.0,40.47996338599469,41.06898923438903,40.32193206081572,40.61883939903075,109400616.0
2017-12-04,172.48,172.62,169.63,169.8,32542385.0,0.0,1.0,41.29885298010389,41.33237477635397,40.61644498501289,40.65715002331657,130169540.0
2017-12-01,169.95,171.67,168.5,171.05,39759288.0,0.0,1.0,40.69306623358451,41.10490544465697,40.345876200994354,40.95645177554946,159037152.0
2017-11-30,170.43,172.14,168.44,171.85,41527218.0,0.0,1.0,40.80799810644194,41.21744290349654,40.33150971688717,41.14800489697851,166108872.0
2017-11-29,172.63,172.92,167.16,169.48,41666364.0,0.0,1.0,41.33476919037184,41.404207196889864,40.02502472260068,40.58052877474494,166665456.0
2017-11-28,174.3,174.87,171.86,173.07,26428802.0,0.0,1.0,41.73463633135499,41.87111793037319,41.15039931099638,41.44012340715781,105715208.0
2017-11-27,175.05,175.08,173.34,174.09,20716802.0,0.0,1.0,41.91421738269473,41.921400624748316,41.504772585640126,41.684353636979864,82867208.0
2017-11-24,175.1,175.5,174.6459,174.97,14026673.0,0.0,1.0,41.92618945278404,42.02196601349857,41.817459112232875,41.895062070551816,56106692.0
2017-11-22,173.36,175.0,173.05,174.96,25588925.0,0.0,1.0,41.509561413675854,41.90224531260541,41.43533457912209,41.89266765653396,102355700.0
2017-11-21,170.78,173.7,170.78,173.14,25131295.0,0.0,1.0,40.891802597067155,41.590971490283195,40.891802597067155,41.456884305282856,100525180.0
2017-11-20,170.29,170.56,169.56,169.98,16262447.0,0.0,1.0,40.77447631019186,40.83912548867416,40.59968408688785,40.700249475638095,65049788.0
2017-11-17,171.04,171.39,169.64,170.15,21899544.0,0.0,1.0,40.954057361531596,41.0378618521568,40.61883939903075,40.74095451394177,87598176.0
2017-11-16,171.18,171.87,170.3,171.1,23637484.0,0.0,1.0,40.98757915778168,41.15279372501424,40.77687072420972,40.968423845638775,94549936.0
2017-11-15,169.97,170.3197,168.38,169.08,29158070.0,0.0,1.0,40.69785506162024,40.78158771982491,40.31714323277999,40.484752214030415,116632280.0
2017-11-14,173.04,173.48,171.18,171.34,24782487.0,0.0,1.0,41.43294016510423,41.5382943818902,40.98757915778168,41.02588978206749,99129948.0
2017-11-13,173.5,174.5,173.4,173.97,16982080.0,0.0,1.0,41.54308320992593,41.78252461171225,41.519139069747304,41.6556206687655,67928320.0
2017-11-10,175.11,175.38,174.27,174.67,25145500.0,0.63,1.0,41.92858386680191,41.99323304528421,41.7274530893014,41.82322965001592,100582000.0
2017-11-09,175.11,176.095,173.14,175.88,29185668.0,0.0,1.0,41.77789928131369,42.01290145590162,41.3078949321378,41.96160656500171,116742672.0
2017-11-08,174.66,176.24,174.33,176.24,23907639.0,0.0,1.0,41.670537881755735,42.04749568464807,41.59180618874658,42.04749568464807,95630556.0
2017-11-07,173.91,175.25,173.6,174.81,24361485.0,0.0,1.0,41.491602215825836,41.811300605620595,41.417642140574806,41.70632501494172,97445940.0
2017-11-06,172.365,174.99,171.72,174.25,35026306.0,0.0,1.0,41.122994744010235,41.749269574764895,40.96911007131052,41.57271971771406,140105224.0
2017-11-03,174.0,174.26,171.12,172.5,59398631.0,0.0,1.0,41.51307449573743,41.57510552659312,40.8259615385666,41.155203163877616,237594524.0
2017-11-02,167.64,168.5,165.28,168.11,41393373.0,0.0,1.0,39.99570004865185,40.20087961225147,39.43264915319242,40.107833065967924,165573492.0
